Peak,structure,common_name,class,synthesizers,Reten_1_mirror_fish,Area1_mirror_fish,Reten_2_mirror_fish,Area2_mirror_fish,Reten_3_C_caddis,Area3_C_caddis,Reten_4_C_caddis,Area4_C_caddis,Reten_6_milk_caddis,Area6_milk_caddis,Reten_7_mirror_caddis,Area7_mirror_caddis,Reten_8_morg_caddis,Area8_morg_caddis,Reten_9_morg_caddis,Area9_morg_caddis,Reten_10_noname_caddis,Area10_noname_caddis,Reten_11_y015_caddis,Area11_y015_caddis,Reten_12_y025_caddis,Area12_y025_caddis,Reten_13_Z_caddis,Area13_Z_caddis,Reten_90_C_cal,Area90_C_cal,Reten_92_O_cal,Area92_O_cal,Reten_108_clear_caddis,Area108_clear_caddis,Reten_94_Z_cal,Area94_Z_cal,Reten_85_mirror_cal,Area85_mirror_cal,Reten_86_y025_cal,Area86_y025_cal,Reten_87_y015_cal,Area87_y015_cal,Reten_80_clear_chaob,Area80_clear_chaob,Reten_96_L_cal,Area96_L_cal,Reten_81_clear_clad,Area81_clear_clad,Reten_82_clear_cal,Area82_clear_cal,Reten_83_morg_cal,Area83_morg_cal,Reten_84_morg_clad,Area84_morg_clad,Reten_93_O_clad,Area93_O_clad,Reten_105_milk_cal,Area105_milk_cal,Reten_106_milk_chaob,Area106_milk_chaob,Reten_97_L_clad,Area97_L_clad,Reten_91_C_clad,Area91_C_clad,Reten_95_Z_clad,Area95_Z_clad,total_appearances,
45,17-0,,SAFA,,NA,NA,NA,NA,33.44326019,9.908975601,33.45536804,14.81874657,33.44294739,7.234475613,33.42169189,17.3504715,33.45141983,8.867617607,33.44571304,7.492432594,33.42199326,10.28068829,33.42905426,29.21717834,33.45582199,10.0649786,33.46193695,13.73550987,33.4528656,22.06592751,33.45392609,19.78606224,33.42254639,3.19896841,33.44363403,20.18258858,33.44020462,5.226006031,33.44042587,6.875518799,33.44052505,17.07004166,33.41941071,5.833177567,33.43676376,16.97366524,33.43502426,8.825655937,33.44661331,18.94780922,33.44277573,15.33181286,33.43616486,6.756381512,33.44564056,24.44085503,33.4355011,9.018971443,33.43659973,7.42080307,33.43638229,16.90400696,33.41815948,9.859614372,33.4347496,13.53072262,29,0.94
46,17-1,,MUFA,,NA,NA,34.23262787,7.592458248,34.23353577,18.75431824,34.24605942,19.00461006,NA,NA,34.18772888,5.594346523,34.20289993,8.812381744,34.1995697,4.791649342,34.2005806,11.36969757,34.21246719,29.40041542,34.23475266,19.63306618,34.25086212,15.89386749,34.34563065,17.34546471,34.34685898,14.70929337,34.21104431,14.07075214,34.3428688,20.00393295,34.34649277,5.217898846,34.34456253,4.098113537,34.34379578,9.743704796,34.33142471,3.871950388,34.33417511,18.65445518,34.34225082,4.024348259,34.37398529,33.95146561,34.3477478,26.64349937,34.34319305,4.265381813,34.33995438,7.87041235,34.34241486,21.55394936,NA,NA,NA,NA,34.3250885,5.175839424,34.33380508,6.42258358,27,0.87
49,a18,,,,NA,NA,34.88072205,3.74889946,34.88368607,8.918848038,34.8953743,10.00068855,NA,NA,NA,NA,34.89473724,2.790577412,NA,NA,34.85854721,4.52064991,34.84919357,7.547731876,34.89736557,8.957987785,34.89427948,5.582612991,34.88038254,7.475337029,34.8417511,4.528720379,34.85345459,7.128953934,34.88562012,6.793509007,34.89788055,4.000998497,NA,NA,34.89544296,6.323680878,NA,NA,NA,NA,NA,NA,34.89795685,15.66513538,34.89403152,10.8421545,NA,NA,NA,NA,34.88925934,7.201472759,34.89056778,3.95182991,NA,NA,NA,NA,NA,NA,18,0.58
52,18-0,,SAFA,t-POM,38.1891098,21.21569633,38.2098732,31.86664009,38.24810028,60.40550995,38.27600861,87.00094604,38.23062897,61.7552948,38.26831055,147.7175293,38.24973297,79.67276001,38.23599243,61.37607956,38.24271774,95.9442749,38.25431442,106.3231964,38.27479935,90.8217926,38.29550934,96.05123901,38.2570343,90.61625671,38.25183105,78.16440582,38.22261429,55.52835083,38.24227142,88.8242569,38.22784805,75.82643127,38.22321701,72.21115875,38.23430252,74.07983398,38.19259262,44.03227234,38.22361374,69.81147766,38.21588516,70.66477966,38.30097961,136.670517,38.26633453,98.44696808,38.20482254,50.21723938,38.23434448,78.64912415,38.23158264,64.82530212,38.22852707,55.08337021,38.20610046,46.94067764,38.1833725,39.85198593,38.20323563,52.11011887,31,1
54,18-1n9c,oleic acid,MUFA,fungi,38.99456406,42.21796417,39.05687714,160.6956482,39.10448074,275.9264221,39.12636948,307.2087708,39.05846786,158.7492676,39.08022308,266.4248657,39.06499863,145.4766235,39.06249619,157.3386383,39.08003235,271.4542847,39.09921646,331.9787292,39.11281967,252.3846283,39.13267136,276.3965759,39.05826187,142.680481,39.06432343,153.2455292,39.08485413,283.2659607,39.04896545,130.8323975,39.01852417,61.74754715,39.01183701,58.4768486,39.0500412,140.6941071,39.01333237,99.99786377,39.03437042,116.9453278,39.0062027,63.2498703,39.10926437,221.7173309,39.11714172,325.3916931,39.02114868,93.63067627,39.04421997,130.6335602,39.06240845,175.262558,39.07954025,221.8669434,39.02549744,104.7967529,38.99053955,64.21051788,39.00804138,70.8404541,31,1
55,E18-1,,MUFA,,39.4023056,7.441773415,39.42493057,23.19882584,39.4447937,25.70511246,39.45780563,27.40054321,39.42023849,13.0010376,39.42419052,45.06109619,39.43119049,16.22186661,39.42914581,15.79038906,39.41804123,18.59540939,39.4265213,38.78118515,39.4528656,26.67153931,39.48326492,52.60739136,39.47411728,108.1354446,39.46015549,75.27859497,39.42412186,40.86811066,39.44810104,65.12277985,39.41841125,12.91888237,39.41508865,13.69117641,39.44293976,55.00431442,39.39667511,22.24673462,39.4237442,34.99573135,39.41635895,37.57234573,39.48858643,77.09368896,39.46009064,59.20590591,39.41301346,25.96128464,39.45719147,94.6601181,39.43975449,46.43452072,39.44423676,54.43442535,39.43514252,67.52545929,39.41559982,61.66500854,39.43820953,80.81464386,31,1
60,18-2n6c,LIN (linoleic),PUFA,"scendesmus, fungi (green algae generally), high proportion in chlorophytes (brett chapter 6)",41.29669189,14.27729511,41.32178879,55.73929596,41.36730957,146.3494568,41.36945343,122.639679,41.31083298,23.02136421,41.28486252,16.61997414,41.3218956,27.35228729,41.33767319,75.44710541,41.30324554,50.50817871,41.29935837,43.78551865,41.3477478,63.98258591,41.42852402,249.7697449,41.3310318,52.45545578,41.32781982,46.71550369,41.32222366,98.03837585,41.33369446,67.44073486,41.34936523,104.6446686,41.33835983,83.68293762,41.3396492,82.60781097,41.29920578,40.69755173,41.33190918,80.04607391,41.30013275,13.62944984,41.39657974,175.8117065,41.34769058,85.42273712,41.30045319,18.31349564,41.31097031,22.63640594,41.34449387,97.87220764,41.33981323,92.73036194,41.30955124,29.55737114,41.28505707,15.56729603,41.30023956,12.81841469,31,1
62,18-3n6,GLA (gamma-linoleic),PUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.67023468,6.486926079,42.64499283,4.586808205,42.6484375,3.650724649,42.61512756,5.11638546,42.65361786,11.9383316,42.64876175,6.612836361,42.65078735,4.000140667,42.64715195,9.979251862,42.62759018,3.692235708,42.64359665,11.89853764,NA,NA,42.67546082,44.43154526,42.65104294,10.18205166,NA,NA,NA,NA,42.64739609,9.348237991,42.64506912,6.247900486,42.64541245,4.994272709,NA,NA,NA,NA,15,0.48
64,18-3n3,ALA (alpha-linolenic),PUFA,"crypto, green algae, cyano, plants",44.39181519,13.0145874,44.41431427,50.07374954,44.44474792,112.8282394,44.45244217,97.83628082,44.40789032,32.15361786,44.3793335,19.54872513,44.41352463,22.66358757,44.40684128,19.62419891,44.38301468,30.04990959,44.42871094,141.8195953,44.44049454,60.10115051,44.46049118,90.00700378,44.42873001,65.11616516,44.42226028,48.16930008,44.41052246,89.39505005,44.42900848,56.9495163,44.4321022,62.87573242,44.41365433,34.62067032,44.44615173,103.6295853,44.39554214,34.6574173,44.42787933,73.48867798,44.39849854,10.51028824,44.5145874,222.8032837,44.45420456,113.8793945,44.39910507,11.66919613,44.40735245,19.43444252,44.44863129,110.7325974,44.43575668,85.01480103,44.40500641,21.05713272,44.38562775,14.01766777,44.39588165,8.377040863,31,1
65,18-3n1?,,PUFA,,45.81435013,2.559939384,45.81583405,8.806275368,45.81716537,3.781790733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.83221054,2.533220768,45.84474182,11.31178951,45.82548904,19.97409439,45.82281113,8.523903847,45.79340363,15.1895895,45.83749008,32.69765091,45.85762787,86.23020935,45.83638382,35.48173904,45.85894394,94.27479553,45.81336975,35.45001602,45.82774353,26.11932373,45.82185745,8.780549049,45.99199295,534.7200928,45.85732269,82.36050415,45.82196426,5.609374046,45.82562256,2.91251874,45.86714935,121.6410217,45.85413361,91.62460327,45.82550049,6.134205818,45.80967331,3.717054367,45.82086563,3.432852983,24,0.77
67,20-0,,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*, chlorophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.78725433,3.234294415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.07775497,13.74961662,48.07490921,3.723234415,48.07284927,4.222611904,NA,NA,NA,NA,NA,NA,48.10971451,66.75935364,48.07501221,6.108430862,NA,NA,NA,NA,48.07304764,10.49061584,48.06879807,3.217260361,NA,NA,NA,NA,NA,NA,8,0.26
68,20-1n11,,MUFA,,NA,NA,NA,NA,48.63100052,5.083017349,48.64491653,6.707962036,48.63293457,6.197134972,48.61149597,12.07282448,48.6440773,6.96909523,48.63609314,5.399466038,NA,NA,48.60478592,8.911639214,48.65011978,7.547341347,48.65359879,5.360286236,48.63496017,4.586061001,48.63722229,4.014392376,NA,NA,48.61902237,4.004749775,48.62440491,5.334236622,48.62239838,8.102573395,48.6210289,8.403643608,48.59893799,3.954831362,48.61202621,3.879042864,48.61494064,3.839449644,48.64635468,30.02286911,48.62685776,11.29252625,NA,NA,48.61611557,4.248985767,48.6198349,8.006768227,48.61869812,5.817824841,NA,NA,NA,NA,NA,NA,23,0.74
