Peak,FA_name,Common_name,Class,synthesizer,Reten_1_mirror_fish,Area_1_mirror_fish,Reten_2_mirror_fish,Area_2_mirror_fish,Reten_3_C_caddis,Area_3_C_caddis,Reten_4_C_caddis,Area_4_C_caddis,Reten_6_milk_caddis,Area_6_milk_caddis,Reten_7_mirror_caddis,Area_7_mirror_caddis,Reten_8_morg_caddis,Area_8_morg_caddis,Reten_9_morg_caddis,Area_9_morg_caddis,Reten_10_noname_caddis,Area_10_noname_caddis,Reten_11_y015_caddis,Area_11_y015_caddis,Reten_12_y025_caddis,Area_12_y025_caddis,Reten_13_Z_caddis,Area_13_Z_caddis,Reten_90_C_cal,Area_90_C_cal,Reten_92_O_cal,Area_92_O_cal,Reten_108_clear_caddis,Area_108_clear_caddis,Reten_94_Z_cal,Area_94_Z_cal,Reten_85_mirror_cal,Area_85_mirror_cal,Reten_86_y025_cal,Area_86_y025_cal,Reten_87_y015_cal,Area_87_y015_cal,Reten_80_clear_chaob,Area_80_clear_chaob,Reten_96_L_cal,Area_96_L_cal,Reten_81_clear_clad,Area_81_clear_clad,Reten_82_clear_cal,Area_82_clear_cal,Reten_83_morg_cal,Area_83_morg_cal,Reten_84_morg_clad,Area_84_morg_clad,Reten_93_O_clad,Area_93_O_clad,Reten_105_milk_cal,Area_105_milk_cal,Reten_106_milk_chaob,Area_106_milk_chaob,Reten_97_L_clad,Area_97_L_clad,Reten_91_C_clad,Area_91_C_clad,Reten_95_Z_clad,Area_95_Z_clad,total_appearances,availability,availability > 1.0,availability > 0.9,availability > 0.8
32,16-0,,SAFA,t-POM,29.18048859,60.05001831,29.22314453,167.7549896,29.22754097,194.9248657,29.25460052,252.5829926,29.19970703,103.6860046,29.25889587,389.885437,29.23056984,172.9376526,29.21327591,133.9206543,29.22787476,188.312561,29.21899986,124.9375381,29.24088097,195.5327911,29.25758934,240.1091309,29.27760315,358.327179,29.25990295,286.9136353,29.21547508,156.4772186,29.28328896,420.2233582,29.23870659,232.6644745,29.22878838,199.420166,29.26013184,326.1678162,29.17763901,75.97454834,29.24206924,265.9096375,29.2155571,165.1879578,29.30967522,555.3544922,29.28464699,413.5822754,29.21558571,163.9787598,29.23049164,199.880188,29.25286484,310.4258118,29.22979355,219.5191498,29.19596291,106.1043243,29.18924332,113.3125381,29.23165131,206.9620819,31,1,1,1,1
33,16-0 (secondary),,SAFA,t-POM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.50426674,4.144557476,NA,NA,29.50925636,11.93279076,NA,NA,NA,NA,29.49590874,3.594069004,29.52778435,10.96151924,29.52038765,6.137532711,NA,NA,NA,NA,29.58412552,6.911828041,29.57753944,3.773731232,NA,NA,NA,NA,NA,NA,7,0.225806452,,,
35,16-1n9?,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,NA,NA,29.78743172,5.801050186,29.78271294,4.853469849,29.79504776,4.394880295,NA,NA,29.7734127,7.533689022,NA,NA,NA,NA,29.79101372,2.265295982,29.7937355,2.815860748,29.79417801,4.677788734,29.80219841,7.822441578,29.8139286,18.77343178,29.80355072,16.17406654,29.7762394,2.319501877,29.80438232,8.115167618,29.81336594,2.766767025,NA,NA,29.82842827,11.60521889,NA,NA,29.78689957,4.781125069,29.78429985,5.516699791,29.80888748,11.18603325,29.80395317,31.89764786,29.78369713,10.3259306,29.79359055,14.55446434,29.79235268,3.486341715,NA,NA,29.78159714,6.779488564,29.77671623,5.798832893,29.7900219,11.56045532,24,0.774193548,,,
36,16-1,,MUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.95977783,4.396716118,NA,NA,NA,NA,NA,NA,29.95734024,8.422816277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.96081161,4.555864811,29.95605659,3.383592844,NA,NA,NA,NA,29.945364,3.432163239,NA,NA,NA,NA,NA,NA,29.94608498,7.10774374,6,0.193548387,,,
37,16-1,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,30.13261795,22.74563217,30.1631794,107.8940887,30.13869667,35.88169098,30.15677643,54.70383835,30.13765907,28.84243965,30.14109993,85.59881592,30.15148926,44.66452789,30.13983345,26.75465584,30.1364212,14.72935295,30.15295982,41.52625275,30.15655327,49.21037674,30.17374992,90.34507751,30.19004822,165.4835663,30.16991425,101.6272507,30.13450241,38.75849533,30.17035103,103.3655167,30.14167976,22.07278633,30.13835907,15.89616489,30.14422417,33.13156891,30.11735153,11.2590332,30.14143562,37.33267975,30.13770676,27.72460365,30.18308258,131.5342407,30.18852425,160.8198547,30.14179802,45.69731522,30.1650753,101.033783,30.15393257,76.60489655,30.14108086,45.42907333,30.13913918,37.82129288,30.13616371,69.56352997,30.17565727,147.4388275,31,1,1,1,1
38,16-1n6,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.34138489,4.642585278,30.36825943,3.103230238,30.36441422,2.702410936,NA,NA,NA,NA,30.37222862,4.063903809,30.39700508,3.004988909,30.41078758,2.862896442,NA,NA,30.34979248,4.166135788,30.39899826,5.307274342,NA,NA,30.68173027,5.987483025,NA,NA,NA,NA,NA,NA,NA,NA,30.41617966,5.538543701,30.41203117,3.128777504,NA,NA,NA,NA,30.39570618,2.84931469,NA,NA,NA,NA,NA,NA,30.38783646,3.5454216,13,0.419354839,,,
39,16-1n5,,MUFA,sulfate reducers (all 16 MUFA and PUFA characteristic of diatoms?),NA,NA,30.67692947,2.367202997,30.67573547,3.003577232,30.68532372,4.31007719,NA,NA,30.65609741,4.586418629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.69219208,4.484535694,30.68624687,9.247582436,30.68545723,7.398258686,NA,NA,30.68272591,6.685977936,30.68041801,4.879556179,NA,NA,30.67647171,4.402616024,30.65918732,2.356625557,30.67429924,4.748585701,30.67686844,8.336698532,30.6956768,38.42290115,30.68571091,17.42850304,30.67575264,5.454623222,30.68076897,7.512189388,30.67844582,14.05995846,30.67496681,8.924150467,30.67697144,3.396496058,30.66215515,3.117462635,30.67694473,6.83868742,22,0.709677419,,,
39.5,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.28358841,2.949486494,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032258065,,,
40,17-0,,SAFA,,NA,NA,NA,NA,31.49395561,2.298091888,31.50126839,3.040585518,NA,NA,31.47098351,3.406568289,31.50080681,2.216854572,NA,NA,NA,NA,31.50622559,2.789940357,NA,NA,31.50709724,3.892935038,31.49868774,9.857953072,31.49956131,8.399643898,31.48218536,2.079701185,31.48998451,6.364057064,31.48888206,3.497860432,31.4910183,5.151728153,31.4871254,6.461574078,31.47117043,5.061304569,31.48613358,5.248898983,31.48834991,10.10185814,31.50484085,38.63804626,31.49287415,13.46193886,31.48734474,3.843420982,31.49072838,8.299765587,31.48195839,9.023931503,31.28027916,2.170385122,31.48693466,2.976380348,31.47043991,4.208520889,31.48491096,4.379362106,25,0.806451613,,,1
41,16-2,,PUFA,green algae and diatoms,NA,NA,31.62909889,9.314990044,31.62877083,8.457503319,31.63845253,8.55423069,NA,NA,31.60795403,4.676136017,31.63765335,2.43903017,31.63248062,6.124781609,31.63067627,2.824572086,31.64131927,6.070459366,31.64331627,20.57777786,31.64455986,9.313150406,NA,NA,NA,NA,31.62099457,2.761126041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.63137817,1.944913626,NA,NA,31.80774307,3.07109499,31.63627434,3.029407263,NA,NA,NA,NA,NA,NA,31.48236084,4.435830593,NA,NA,NA,NA,NA,NA,15,0.483870968,,,
